S11;S22;S33;S12;S13;S23;theta
21.9441;2.8353;-24.7794;0;0;0;2.7227
21.693;3.3103;-25.0033;0;0;0;2.7402
21.4403;3.7866;-25.2269;0;0;0;2.7576
21.1858;4.2646;-25.4504;0;0;0;2.7751
20.9294;4.7443;-25.6737;0;0;0;2.7925
20.6708;5.2261;-25.8969;0;0;0;2.81
20.4098;5.7101;-26.1198;0;0;0;2.8274
20.146;6.1965;-26.3425;0;0;0;2.8449
19.8792;6.6856;-26.5648;0;0;0;2.8623
19.609;7.1774;-26.7864;0;0;0;2.8798
19.3352;7.6721;-27.0073;0;0;0;2.8972
19.0573;8.1698;-27.2271;0;0;0;2.9147
18.7751;8.6707;-27.4458;0;0;0;2.9322
18.4882;9.1748;-27.663;0;0;0;2.9496
18.1961;9.6819;-27.8781;0;0;0;2.9671
17.8978;10.1919;-28.0897;0;0;0;2.9845
17.5924;10.7043;-28.2967;0;0;0;3.002
17.2792;11.2186;-28.4978;0;0;0;3.0194
16.9575;11.7343;-28.6918;0;0;0;3.0369
16.6265;12.2506;-28.877;0;0;0;3.0543
16.2845;12.766;-29.0504;0;0;0;3.0718
15.9295;13.2783;-29.2078;0;0;0;3.0892
15.5599;13.785;-29.3449;0;0;0;3.1067
15.1755;14.2848;-29.4604;0;0;0;3.1241
14.7751;14.7751;-29.5502;0;0;0;3.1416
14.3583;15.2536;-29.6119;0;0;0;3.159
13.9252;15.7182;-29.6434;0;0;0;3.1765
13.4742;16.1647;-29.6389;0;0;0;3.194
13.0068;16.5917;-29.5984;0;0;0;3.2114
12.5256;16.9998;-29.5254;0;0;0;3.2289
12.0317;17.3873;-29.4189;0;0;0;3.2463
11.5266;17.7536;-29.2803;0;0;0;3.2638
11.0133;18.1001;-29.1134;0;0;0;3.2812
10.4949;18.4297;-28.9246;0;0;0;3.2987
9.9744;18.7457;-28.7201;0;0;0;3.3161
9.454;19.0509;-28.5049;0;0;0;3.3336
8.9351;19.3476;-28.2827;0;0;0;3.351
8.4185;19.6374;-28.0559;0;0;0;3.3685
7.9049;19.922;-27.8269;0;0;0;3.3859
7.3946;20.2024;-27.597;0;0;0;3.4034
6.8873;20.4789;-27.3662;0;0;0;3.4208
6.3829;20.7518;-27.1347;0;0;0;3.4383
5.8812;21.0213;-26.9025;0;0;0;3.4558
5.382;21.2876;-26.6696;0;0;0;3.4732
4.8852;21.5509;-26.436;0;0;0;3.4907
4.3905;21.8113;-26.2018;0;0;0;3.5081
3.8977;22.0692;-25.9669;0;0;0;3.5256
3.4067;22.3246;-25.7313;0;0;0;3.543
2.9172;22.5779;-25.4951;0;0;0;3.5605
2.429;22.8293;-25.2583;0;0;0;3.5779
1.9419;23.079;-25.0209;0;0;0;3.5954
1.4557;23.3273;-24.7831;0;0;0;3.6128
0.97016;23.5746;-24.5447;0;0;0;3.6303
0.48501;23.8209;-24.3059;0;0;0;3.6477
-3.7787e-15;24.0667;-24.0667;0;0;0;3.6652
-0.48513;24.312;-23.8269;0;0;0;3.6826
-0.97065;24.5573;-23.5866;0;0;0;3.7001
-1.4569;24.8026;-23.3457;0;0;0;3.7176
-1.944;25.0482;-23.1042;0;0;0;3.735
-2.4325;25.2944;-22.862;0;0;0;3.7525
-2.9225;25.5414;-22.6189;0;0;0;3.7699
-3.4143;25.7893;-22.3749;0;0;0;3.7874
-3.9084;26.0383;-22.1299;0;0;0;3.8048
-4.405;26.2886;-21.8836;0;0;0;3.8223
-4.9045;26.5405;-21.636;0;0;0;3.8397
-5.4071;26.794;-21.3869;0;0;0;3.8572
